well_number,well_position,cycle_number,POOL_T80K_1,POOL_T80K_2,POOL_T80K_3,POOL_T80K_4,POOL_T80K_5,POOL_T80K_6,POOL_T80K_7,POOL_T80K_8,POOL_T80K_9,POOL_T80K_10,POOL_WT_1,Non-targeting,Untransduced_WT,Untransduced_T80K
89,H5,8,237007,245371.67,243130.84,245019.08,245598.9,241309.75,248123.34,226095.2,240252.08,237231.22,334554.84,323135.66,351560.8,229502.06
90,H6,8,244760.72,255466.5,249898,261809.56,251552.22,250544.08,339938.44,236578.02,249740.75,250251,346859.62,325867.6,312450.03,#N/A
91,H7,8,226837.66,239880.44,233945.31,235036.03,233997.55,232334.53,234528.83,218199.89,234338.58,232090.42,235483.61,477218.62,289317.8,#N/A
92,H8,8,247078.94,261686.69,257042.89,251687.27,251512.16,250298.98,253135.05,245113.69,246157.86,321733.56,244981.8,390068.9,391998.53,#N/A
93,H9,8,322983.28,242980.69,234217.31,233230.78,230208.9,232283.48,234843.78,222758.1,230362.33,221480.14,335558.3,390610.7,338861.5,#N/A
94,H10,8,250833.9,260437.3,254295.5,252513.27,248522.73,245684.44,249536.7,238533.27,243365.23,231586.92,293280.66,385062.22,344919.97,#N/A
95,H11,8,234527.78,252263.6,238409.17,236204.6,244772.58,293141.2,242115.14,229766.97,228205.45,220772.16,256192.14,262312.94,340376.62,#N/A
96,H12,8,224074.69,244274.34,236706.94,231486.27,245093.6,232994.38,235510.05,230045,231730.95,224238.6,268667.38,331207.97,307079.6,#N/A
1,A1,9,331271.06,348135.53,347030.53,338873.06,347723.16,476294.78,409333.3,316297.22,315091.1,286777.62,377863.16,508057.5,437091.25,#N/A
2,A2,9,303807.5,316608.3,319171.72,311473,329120.16,301428.44,312588.8,279019.16,293827.28,276934.53,376328.38,408413.8,317545.03,#N/A
3,A3,9,293395.03,319450.75,295886.6,299088.34,300536.34,298368.8,301603.34,272863.66,279612.9,266634.22,483541.88,555371.7,341872.44,#N/A
4,A4,9,279975.3,286911.6,285407.2,284169.25,287338.12,287462.47,289947.88,269921.72,270434.25,262236.7,418507.22,486835.53,439984.72,#N/A
5,A5,9,261695.22,272500.53,266031.4,265883.8,270897.47,275642.75,275728.75,262399.03,257272.4,253867.6,348342.84,362260.8,364405.56,#N/A
6,A6,9,225654.56,236184.72,232190.97,225809.88,235232.33,230484.1,235690.27,218120.44,225995.11,225288.56,464275.8,377873.62,237431.39,#N/A
7,A7,9,240184.6,251931.92,246227.12,243573.67,249563.61,244364.73,251724.81,238742.92,240830.12,245937.1,361839.72,462200.97,378136.7,#N/A
8,A8,9,257321.27,263489.2,261551.16,253599.48,260190.06,252645.31,260114.83,251144.66,252210.1,260994.73,436051.34,301450.5,427301,#N/A
9,A9,9,259419.3,266559.34,261082.89,260135.17,255859.9,261553.22,260122.94,253586.6,247306.31,252602.36,442115.4,346848.7,263647.5,#N/A
10,A10,9,262386.6,286394.4,265521.53,269368.16,270351.2,273016.47,266597.03,257361.33,250183.52,264719.9,386436.72,267610.25,458306.34,#N/A
11,A11,9,246546.98,262669.2,243630.45,250019.4,250998.53,250094.56,249437.12,242536.62,236869.12,250462.4,252948.17,401974.97,296540.1,#N/A
